E_R
5.736706e-01
1.364799e+00
3.125841e+00
6.918626e+00
1.480939e+01
3.043835e+01
6.056070e+01
1.171427e+02
2.200995e+02
4.010531e+02
7.086506e+02
1.219050e+03
2.050045e+03
3.376851e+03
5.450876e+03
8.624843e+03
1.338349e+04
2.040446e+04
3.060255e+04
4.517529e+04
6.563776e+04
9.370101e+04
1.312109e+05
1.804124e+05
2.440559e+05
3.253854e+05
4.281016e+05
5.563207e+05
7.145052e+05
9.073757e+05
1.139840e+06
1.417057e+06
1.744801e+06
2.129733e+06
2.579235e+06
3.101389e+06
3.704732e+06
4.398197e+06
5.191084e+06
6.092755e+06
7.113340e+06
8.264599e+06
9.560150e+06
1.101236e+07
1.262816e+07
1.440398e+07
1.631918e+07
1.832804e+07
2.035272e+07
2.228180e+07
2.398563e+07
2.536954e+07
2.643443e+07
2.723633e+07
2.784052e+07
2.830481e+07
2.867505e+07
2.898488e+07
2.925759e+07
2.950794e+07
2.974417e+07
2.996950e+07
3.018449e+07
3.038986e+07
3.058876e+07
3.078531e+07
3.098330e+07
3.118555e+07
3.139376e+07
3.160843e+07
3.182881e+07
3.205282e+07
3.227683e+07
3.249584e+07
3.270345e+07
3.289279e+07
3.305820e+07
3.319797e+07
3.331450e+07
3.341190e+07
3.349479e+07
3.356817e+07
3.363766e+07
3.371020e+07
3.379476e+07
3.390308e+07
3.405019e+07
3.425435e+07
3.453585e+07
3.491390e+07
3.512224e+07
3.530877e+07
3.557421e+07
3.589976e+07
3.626820e+07
3.666509e+07
3.707884e+07
3.750018e+07
3.792143e+07
3.833583e+07
3.873691e+07
3.911808e+07
3.947243e+07
3.979299e+07
4.007347e+07
4.031002e+07
4.050375e+07
4.066052e+07
4.078788e+07
4.089338e+07
4.098390e+07
4.106556e+07
4.114388e+07
4.122384e+07
4.130990e+07
4.140576e+07
4.151384e+07
4.163417e+07
4.176287e+07
4.189197e+07
4.201192e+07
4.211387e+07
4.219167e+07
4.224360e+07
4.227168e+07
4.227958e+07
4.227146e+07
4.225171e+07
4.222496e+07
4.219630e+07
4.217160e+07
4.215782e+07
4.216324e+07
4.219761e+07
4.227216e+07
4.239918e+07
4.259130e+07
4.285996e+07
4.308190e+07
4.264700e+07
4.226650e+07
4.192510e+07
4.160885e+07
4.130677e+07
4.101103e+07
4.071670e+07
4.042119e+07
4.012389e+07
3.982566e+07
3.952855e+07
3.923546e+07
3.894987e+07
3.867555e+07
3.841618e+07
3.817490e+07
3.795372e+07
3.775274e+07
3.756971e+07
3.740127e+07
3.724435e+07
3.709662e+07
