"Profile","Type","SII","Sones"
"A1 (Mild)","Heuristic Seed",0.409644293145055,3.45235186636154
"A1 (Mild)","Optimized",0.423202638590429,3.58909887854962
"A2 (Moderate Rev)","Heuristic Seed",0.650642998998696,1.05950197381314
"A2 (Moderate Rev)","Optimized",0.737878300993044,1.48225762215093
"A3 (Moderate Sloping)","Heuristic Seed",0.325604068833342,1.11885310809638
"A3 (Moderate Sloping)","Optimized",0.367646262205053,1.37309315638624
"A4 (Severe Steep)","Heuristic Seed",0.217752249111128,0.193500369997269
"A4 (Severe Steep)","Optimized",0.265124883222993,0.260710704296623
"A5 (Profound Steep)","Heuristic Seed",0.496658298141746,9.88711527785093
"A5 (Profound Steep)","Optimized",0.519632059328516,9.63968813026578
"A6 (Mixed)","Heuristic Seed",0.563592470699975,3.56425996874623
"A6 (Mixed)","Optimized",0.723637866394332,3.76826318202225
"A7 (Conductive)","Heuristic Seed",0.934069864009245,10.6814201703904
"A7 (Conductive)","Optimized",0.990906725135873,12.2052505732486
