"profile","level","cpp_loudness"
"a1",50,8.87292929073258
"a2",50,8.32640137331758
"a3",50,9.23931987790436
"a4",50,9.74814580213848
"a5",50,8.89038792650367
"a1",55,8.14599359288122
"a2",55,7.6101275841492
"a3",55,8.2257486679669
"a4",55,9.15114661888054
"a5",55,8.24684102836693
"a1",60,7.48658732568574
"a2",60,6.9610553966715
"a3",60,7.32237858391356
"a4",60,8.65363387037543
"a5",60,7.71988841904238
"a1",65,6.88990561950829
"a2",65,6.37140601216551
"a3",65,6.52045464484106
"a4",65,8.23695354821574
"a5",65,7.30509498316605
"a1",70,6.35148116193217
"a2",70,5.82969595995453
"a3",70,5.81245535822861
"a4",70,7.89345344668432
"a5",70,6.98426624478039
"a1",75,5.86706535425748
"a2",75,5.33459896383605
"a3",75,5.19173439510782
"a4",75,7.61440574653557
"a5",75,6.73211463461235
"a1",80,5.43776713551222
"a2",80,4.89191304703555
"a3",80,4.65215200935591
"a4",80,7.38902803915078
"a5",80,6.54005114312806
"a1",85,5.05665382077481
"a2",85,4.4854624856548
"a3",85,4.19879410305658
"a4",85,7.18876506248557
"a5",85,6.3921941397244
"a1",90,4.71727023401721
"a2",90,4.11307583745426
"a3",90,3.8110479696601
"a4",90,7.01688491697685
"a5",90,6.27965668340052
