"f","l_density"
20,-81.6985719480786
21,-80.009228078685
22,-78.3984873780801
23,-76.8593592800069
24,-75.3857462080675
25,-73.9722976707819
26,-72.6142929899891
27,-71.307546173452
28,-70.0483280959928
29,-68.8333023423135
30,-67.6594719307708
31,-66.5241347760902
32,-65.4248462253753
33,-64.3593873607724
34,-63.3257380353671
35,-62.3220538186961
36,-61.3466461907598
37,-60.3979654502805
38,-59.4745859027292
39,-58.5751929726813
40,-57.6985719480786
41,-56.8435981145412
42,-56.009228078685
43,-55.1944921125249
44,-54.3984873780801
45,-53.6203719134631
46,-52.8593592800069
47,-52.114713785112
48,-51.3857462080675
49,-50.6718099666103
50,-49.9722976707819
51,-49.2866380180594
52,-48.614292989989
53,-47.9547553158585
54,-47.307546173452
55,-46.6722131007834
56,-46.0483280959928
57,-45.4354858854214
58,-44.8333023423135
59,-44.2414130406911
60,-43.6594719307708
61,-43.087150123866
62,-42.5241347760902
63,-41.9701280613773
64,-41.4248462253753
65,-40.8880187126924
66,-40.3593873607724
67,-39.8387056543887
68,-39.3257380353671
69,-38.8202592626992
70,-38.3220538186961
71,-37.8309153572629
72,-37.3466461907598
73,-36.8690568122548
74,-36.3979654502805
75,-35.9331976534741
76,-35.4745859027292
77,-35.0219692486976
78,-34.5751929726813
79,-34.1341082691248
80,-33.6985719480786
81,-33.2684461561443
82,-32.8435981145413
83,-32.4238998730491
84,-32.009228078685
85,-31.5994637580704
86,-31.1944921125249
87,-30.7942023250058
88,-30.3984873780801
89,-30.0072438821817
90,-29.6203719134631
91,-29.2377748606065
92,-28.8593592800069
93,-28.4850347587825
94,-28.114713785112
95,-27.7483116254325
96,-27.3857462080675
97,-27.0269380128842
98,-26.6718099666103
99,-26.3202873434646
100,-25.9722976707819
101,-25.6277706393322
102,-25.2866380180594
103,-24.948833572978
104,-24.614292989989
105,-24.2829538013883
106,-23.9547553158585
107,-23.6296385517477
108,-23.307546173452
109,-22.988422430729
110,-22.6722131007834
111,-22.3588654329727
112,-22.0483280959928
113,-21.7405511274108
114,-21.4354858854215
115,-21.1330850027102
116,-20.8333023423135
117,-20.5360929553735
118,-20.2414130406911
119,-19.9492199059846
120,-19.6594719307708
121,-19.372128530785
122,-19.087150123866
123,-18.8044980972335
124,-18.5241347760902
125,-18.2460233934852
126,-17.9701280613773
127,-17.6964137428433
128,-17.4248462253753
129,-17.1553920952172
130,-16.8880187126924
131,-16.6226941884765
132,-16.3593873607724
133,-16.0980677733467
134,-15.8387056543887
135,-15.5812718961553
136,-15.3257380353671
137,-15.0720762343226
138,-14.8202592626992
139,-14.5702604800111
140,-14.3220538186961
141,-14.0756137678042
142,-13.8309153572629
143,-13.5879341426939
144,-13.3466461907598
145,-13.1070280650168
146,-12.8690568122548
147,-12.6327099493025
148,-12.3979654502805
149,-12.1648017342834
150,-11.9331976534741
151,-11.7031324815734
152,-11.4745859027292
153,-11.2475380007516
154,-11.0219692486976
155,-10.7978604987936
156,-10.5751929726813
157,-10.3539482519762
158,-10.1341082691248
159,-9.91565529855073
160,-9.69857194807856
161,-9.48284115062445
162,-9.26844615614426
163,-9.0553705238294
164,-8.84359811454125
165,-8.63311308347568
166,-8.42389987304907
167,-8.215943205998
168,-8.00922807868501
169,-7.80373975460283
170,-7.59946375807041
171,-7.39638586811371
172,-7.1944921125249
173,-6.99376876209386
174,-6.79420232500577
175,-6.59577954139937
176,-6.39848737808012
177,-6.20231302338332
178,-6.00724388218171
179,-5.8132675710331
180,-5.62037191346306
181,-5.42854493537833
182,-5.23777486060655
183,-5.04805010655824
184,-4.85935928000695
185,-4.67169117298376
186,-4.4850347587825
187,-4.29937918807198
188,-4.11471378511196
189,-3.93102804406951
190,-3.74831162543251
191,-3.56655435251729
192,-3.3857462080675
193,-3.20587733094133
194,-3.02693801288419
195,-2.8489186953846
196,-2.67180996661025
197,-2.49560255842223
198,-2.32028734346462
199,-2.14585533232768
200,-1.97229767078186
201,-1.79960563708097
202,-1.62777063933218
203,-1.45678421293103
204,-1.28663801805936
205,-1.11732383724455
206,-0.94883357297801
207,-0.78115924539145
208,-0.614292989989039
209,-0.448227055434074
210,-0.282953801388317
211,-0.118465696402815
212,0.0452446841415224
213,0.208184660044857
214,0.370361448252268
215,0.531782164771791
216,0.69245382654799
217,0.852383353292254
218,1.01157756927098
219,1.17004320505291
220,1.32778689921657
221,1.4848152000191
222,1.64113456702729
223,1.79675137271206
224,1.95167190400724
225,2.10590236383363
226,2.25944887258925
227,2.41231746960671
228,2.56451411457854
229,2.71604468895139
230,2.86691499728975
231,3.01713076861012
232,3.16669765768647
233,3.31562124632747
234,3.46390704462645
235,3.61156049218474
236,3.75858695930893
237,3.90499174818297
238,4.05078009401539
239,4.19595716616271
240,4.34052806922919
241,4.48449784414382
242,4.62787146921502
243,4.77065386116349
244,4.91284987613402
245,5.05446431068643
246,5.19550190276649
247,5.33596733265701
248,5.47586522390975
249,5.61520014425869
250,5.75397660651483
251,5.7931485694301
252,5.83216477860249
253,5.87102646772984
254,5.90973485590999
255,5.94829114787017
256,5.98669653419203
257,6.0249521915322
258,6.06305928283863
259,6.10101895756272
260,6.13883235186732
261,6.17650058883084
262,6.21402477864732
263,6.25140601882285
264,6.2886453943681
265,6.32574397798734
266,6.36270283026383
267,6.39952299984174
268,6.4362055236047
269,6.47275142685098
270,6.50916172346548
271,6.54543741608848
272,6.58157949628128
273,6.6175889446889
274,6.65346673119968
275,6.68921381510203
276,6.72483114523834
277,6.76031966015613
278,6.79568028825637
279,6.83091394793932
280,6.86602154774753
281,6.9010039865065
282,6.93586215346275
283,6.97059692841942
284,7.00520918186951
285,7.03969977512682
286,7.07406956045452
287,7.10831938119151
288,7.1424500718766
289,7.17646245837054
290,7.21035735797588
291,7.24413557955485
292,7.27779792364515
293,7.31134518257382
294,7.3447781405691
295,7.37809757387049
296,7.41130425083684
297,7.44439893205267
298,7.47738237043274
299,7.51025531132476
300,7.54301849261053
301,7.57567264480524
302,7.60821849115531
303,7.64065674773438
304,7.67298812353794
305,7.70521332057625
306,7.73733303396586
307,7.76934795201952
308,7.80125875633471
309,7.83306612188074
310,7.86477071708435
311,7.89637320391405
312,7.92787423796302
313,7.95927446853071
314,7.99057453870318
315,8.0217750854321
316,8.05287673961251
317,8.08388012615941
318,8.11478586408303
319,8.14559456656306
320,8.17630684102163
321,8.20692328919512
322,8.23744450720495
323,8.2678710856272
324,8.29820360956117
325,8.32844265869694
326,8.35858880738179
327,8.38864262468564
328,8.41860467446562
329,8.44847551542937
330,8.47825570119771
331,8.50794578036613
332,8.5375462965654
333,8.56705778852141
334,8.59648079011387
335,8.62581583043431
336,8.65506343384321
337,8.68422412002619
338,8.71329840404943
339,8.74228679641425
340,8.77118980311089
341,8.80000792567154
342,8.82874166122251
343,8.85739150253571
344,8.88595793807936
345,8.91444145206795
346,8.94284252451149
347,8.97116163126403
348,8.99939924407157
349,9.02755583061909
350,9.05563185457714
351,9.08362777564759
352,9.11154404960883
353,9.13938112836024
354,9.16713945996617
355,9.19481948869913
356,9.22242165508246
357,9.24994639593247
358,9.27739414439984
359,9.30476533001055
360,9.33206037870621
361,9.35927971288385
362,9.3864237514351
363,9.4134929097849
364,9.44048759992963
365,9.46740823047476
366,9.49425520667194
367,9.52102893045559
368,9.54772980047907
369,9.57435821215019
370,9.60091455766645
371,9.62739922604965
372,9.65381260318004
373,9.68015507183019
374,9.70642701169808
375,9.73262879944014
376,9.75876080870348
377,9.78482341015799
378,9.81081697152778
379,9.83674185762241
380,9.86259843036755
381,9.88838704883529
382,9.91410806927409
383,9.93976184513831
384,9.96534872711733
385,9.99086906316433
386,10.0163231985247
387,10.0417114757639
388,10.0670342347956
389,10.0922918129082
390,10.1174845447926
391,10.1426127625683
392,10.1676767958098
393,10.1926769715726
394,10.2176136144188
395,10.2424870464421
396,10.2672975872934
397,10.2920455542047
398,10.3167312620141
399,10.3413550231891
400,10.3659171478513
401,10.3904179437987
402,10.41485771653
403,10.4392367692665
404,10.4635554029751
405,10.4878139163908
406,10.5120126060382
407,10.5361517662536
408,10.5602316892066
409,10.5842526649208
410,10.6082149812952
411,10.632118924125
412,10.6559647771215
413,10.6797528219328
414,10.7034833381636
415,10.727156603395
416,10.7507728932037
417,10.7743324811817
418,10.7978356389547
419,10.8212826362017
420,10.8446737406728
421,10.868009218208
422,10.8912893327552
423,10.9145143463881
424,10.9376845193238
425,10.9608001099405
426,10.9838613747948
427,11.0068685686386
428,11.0298219444359
429,11.0527217533798
430,11.075568244909
431,11.0983616667236
432,11.1211022648019
433,11.1437902834158
434,11.1664259651467
435,11.1890095509012
436,11.2115412799264
437,11.234021389825
438,11.2564501165704
439,11.2788276945218
440,11.3011543564384
441,11.3234303334944
442,11.345655855293
443,11.3678311498809
444,11.3899564437621
445,11.4120319619121
446,11.4340579277911
447,11.456034563358
448,11.4779620890839
449,11.499840723965
450,11.5216706855358
451,11.5434521898824
452,11.565185451655
453,11.5868706840806
454,11.6085080989759
455,11.6300979067592
456,11.6516403164632
457,11.6731355357468
458,11.6945837709069
459,11.7159852268911
460,11.7373401073087
461,11.7586486144423
462,11.77991094926
463,11.801127311426
464,11.8222978993123
465,11.8434229100097
466,11.8645025393387
467,11.8855369818606
468,11.9065264308883
469,11.9274710784966
470,11.9483711155331
471,11.9692267316285
472,11.9900381152069
473,12.0108054534962
474,12.0315289325378
475,12.0522087371972
476,12.0728450511732
477,12.0934380570083
478,12.1139879360981
479,12.1344948687008
480,12.1549590339469
481,12.1753806098486
482,12.1957597733086
483,12.2160967001303
484,12.2363915650256
485,12.2566445416252
486,12.2768558024865
487,12.2970255191029
488,12.3171538619127
489,12.3372410003071
490,12.3572871026394
491,12.3772923362333
492,12.3972568673909
493,12.4171808614016
494,12.4370644825497
495,12.456907894123
496,12.4767112584208
497,12.4964747367614
498,12.5161984894907
499,12.5358826759893
500,12.5555274546809
501,12.5499309177935
502,12.5443455405086
503,12.5387712784097
504,12.5332080873451
505,12.5276559234256
506,12.5221147430225
507,12.5165845027655
508,12.5110651595407
509,12.5055566704885
510,12.5000589930018
511,12.4945720847238
512,12.4890959035459
513,12.4836304076065
514,12.478175555288
515,12.4727313052159
516,12.4672976162563
517,12.4618744475143
518,12.4564617583319
519,12.4510595082865
520,12.4456676571889
521,12.4402861650816
522,12.4349149922368
523,12.4295540991549
524,12.4242034465626
525,12.4188629954115
526,12.4135327068757
527,12.4082125423508
528,12.4029024634519
529,12.397602432012
530,12.3923124100803
531,12.3870323599207
532,12.3817622440099
533,12.3765020250362
534,12.3712516658977
535,12.3660111297007
536,12.360780379758
537,12.355559379588
538,12.3503480929122
539,12.3451464836545
540,12.3399545159395
541,12.3347721540907
542,12.3295993626293
543,12.3244361062728
544,12.3192823499333
545,12.3141380587164
546,12.3090031979195
547,12.3038777330305
548,12.2987616297264
549,12.293654853872
550,12.2885573715184
551,12.2834691489016
552,12.2783901524415
553,12.2733203487402
554,12.2682597045809
555,12.2632081869263
556,12.2581657629178
557,12.2531323998738
558,12.2481080652885
559,12.2430927268308
560,12.238086352343
561,12.2330889098393
562,12.2281003675052
563,12.2231206936954
564,12.2181498569333
565,12.2131878259098
566,12.2082345694815
567,12.2032900566701
568,12.1983542566612
569,12.1934271388028
570,12.1885086726044
571,12.1835988277359
572,12.1786975740264
573,12.1738048814632
574,12.1689207201903
575,12.1640450605079
576,12.159177872871
577,12.1543191278881
578,12.1494687963207
579,12.1446268490817
580,12.1397932572347
581,12.1349679919927
582,12.1301510247174
583,12.1253423269178
584,12.1205418702497
585,12.115749626514
586,12.1109655676563
587,12.1061896657656
588,12.1014218930736
589,12.0966622219533
590,12.0919106249186
591,12.0871670746227
592,12.0824315438578
593,12.0777040055537
594,12.072984432777
595,12.0682727987304
596,12.0635690767513
597,12.0588732403116
598,12.054185263016
599,12.0495051186017
600,12.0448327809374
601,12.0401682240222
602,12.0355114219849
603,12.0308623490831
604,12.0262209797025
605,12.0215872883559
606,12.0169612496821
607,12.0123428384457
608,12.0077320295358
609,12.0031287979653
610,11.9985331188699
611,11.9939449675078
612,11.9893643192584
613,11.9847911496217
614,11.9802254342175
615,11.9756671487847
616,11.9711162691805
617,11.9665727713793
618,11.9620366314725
619,11.9575078256673
620,11.9529863302864
621,11.9484721217666
622,11.9439651766586
623,11.9394654716263
624,11.9349729834455
625,11.9304876890038
626,11.9260095652998
627,11.9215385894419
628,11.9170747386481
629,11.9126179902452
630,11.908168321668
631,11.9037257104587
632,11.8992901342662
633,11.8948615708452
634,11.8904399980561
635,11.8860253938637
636,11.8816177363369
637,11.8772170036481
638,11.8728231740722
639,11.8684362259863
640,11.8640561378689
641,11.8596828882994
642,11.8553164559572
643,11.8509568196215
644,11.84660395817
645,11.8422578505793
646,11.8379184759232
647,11.8335858133729
648,11.8292598421961
649,11.8249405417561
650,11.8206278915119
651,11.816321871017
652,11.8120224599192
653,11.8077296379598
654,11.803443384973
655,11.7991636808856
656,11.7948905057162
657,11.7906238395748
658,11.7863636626619
659,11.7821099552684
660,11.7778626977749
661,11.773621870651
662,11.7693874544549
663,11.7651594298329
664,11.7609377775186
665,11.7567224783329
666,11.7525135131829
667,11.7483108630617
668,11.744114509048
669,11.7399244323051
670,11.735740614081
671,11.7315630357074
672,11.7273916785995
673,11.7232265242554
674,11.7190675542556
675,11.7149147502625
676,11.7107680940199
677,11.7066275673528
678,11.7024931521663
679,11.6983648304459
680,11.6942425842563
681,11.6901263957415
682,11.6860162471239
683,11.6819121207043
684,11.6778139988609
685,11.6737218640494
686,11.6696356988021
687,11.6655554857277
688,11.6614812075108
689,11.6574128469114
690,11.6533503867645
691,11.6492938099798
692,11.6452430995409
693,11.6411982385055
694,11.6371592100043
695,11.6331259972408
696,11.6290985834912
697,11.6250769521036
698,11.6210610864978
699,11.6170509701646
700,11.6130465866659
701,11.6090479196339
702,11.6050549527705
703,11.6010676698477
704,11.5970860547064
705,11.5931100912563
706,11.5891397634757
707,11.5851750554106
708,11.5812159511751
709,11.5772624349503
710,11.5733144909842
711,11.5693721035912
712,11.5654352571522
713,11.5615039361135
714,11.5575781249869
715,11.5536578083494
716,11.5497429708424
717,11.5458335971718
718,11.5419296721074
719,11.5380311804826
720,11.534138107194
721,11.530250437201
722,11.5263681555258
723,11.5224912472525
724,11.5186196975272
725,11.5147534915576
726,11.5108926146124
727,11.5070370520212
728,11.503186789174
729,11.4993418115211
730,11.4955021045727
731,11.4916676538982
732,11.4878384451265
733,11.4840144639451
734,11.4801956961004
735,11.4763821273966
736,11.472573743696
737,11.4687705309185
738,11.4649724750413
739,11.4611795620985
740,11.4573917781808
741,11.4536091094354
742,11.4498315420654
743,11.4460590623298
744,11.4422916565429
745,11.4385293110743
746,11.4347720123482
747,11.4310197468437
748,11.4272725010938
749,11.4235302616857
750,11.4197930152604
751,11.4160607485119
752,11.4123334481878
753,11.4086111010881
754,11.4048936940657
755,11.4011812140255
756,11.3974736479246
757,11.3937709827717
758,11.390073205627
759,11.386380303602
760,11.3826922638588
761,11.3790090736105
762,11.3753307201202
763,11.3716571907015
764,11.3679884727176
765,11.3643245535814
766,11.3606654207549
767,11.3570110617496
768,11.3533614641254
769,11.3497166154911
770,11.3460765035034
771,11.3424411158675
772,11.3388104403362
773,11.3351844647097
774,11.3315631768359
775,11.3279465646094
776,11.3243346159718
777,11.3207273189114
778,11.3171246614626
779,11.3135266317061
780,11.3099332177684
781,11.3063444078217
782,11.3027601900834
783,11.2991805528163
784,11.295605484328
785,11.2920349729711
786,11.2884690071422
787,11.2849075752825
788,11.2813506658772
789,11.2777982674552
790,11.2742503685891
791,11.2707069578949
792,11.2671680240315
793,11.2636335557009
794,11.260103541648
795,11.2565779706599
796,11.253056831566
797,11.2495401132381
798,11.2460278045894
799,11.2425198945752
800,11.2390163721919
801,11.2355172264773
802,11.2320224465101
803,11.2285320214102
804,11.2250459403376
805,11.221564192493
806,11.2180867671174
807,11.2146136534917
808,11.2111448409366
809,11.2076803188124
810,11.204220076519
811,11.2007641034954
812,11.1973123892197
813,11.1938649232088
814,11.1904216950183
815,11.1869826942422
816,11.1835479105128
817,11.1801173335007
818,11.1766909529141
819,11.1732687584991
820,11.1698507400392
821,11.1664368873555
822,11.163027190306
823,11.1596216387858
824,11.1562202227269
825,11.1528229320979
826,11.1494297569037
827,11.1460406871856
828,11.142655713021
829,11.1392748245233
830,11.1358980118416
