"id","level","cpp_loudness"
1,86,18.5311764843695
2,50,1.7238697257206
3,74,16.2360262099336
4,59,3.69616638631012
5,85,30.0407306380423
6,67,11.5039920587862
7,73,14.943185315196
8,56,4.03892130810431
9,85,24.6169348008693
10,74,10.3390440424866
11,86,38.2842683171808
12,69,12.3636138745281
13,75,12.0046759418155
14,52,2.44268851621022
15,90,54.2290971524681
16,74,15.7583877608099
17,76,11.1066896157438
18,85,19.6537245926591
19,86,24.2589722252892
20,80,15.3838798873451
21,54,2.90350923063035
22,69,8.1723036993807
23,83,28.9071446214861
24,77,18.0294268822158
25,89,27.464921842296
26,52,2.23514770775387
27,82,23.1473339126438
28,73,11.5939768811498
29,79,17.7203455961707
30,64,10.5857913640342
31,71,7.05360728613943
32,57,3.8941067855347
33,85,30.0385687543662
34,53,2.87829681878699
35,71,10.6527568573242
36,67,9.75606831562502
37,77,20.1400654590787
38,54,3.89690150730838
39,53,3.85063413213921
40,83,28.2112030404938
41,84,19.7113636012175
42,73,17.6715639711071
43,72,14.352736190242
44,75,12.9656615943873
45,55,4.06271912853052
46,55,3.20708988661817
47,51,2.29149161738188
48,52,2.15791866146776
49,70,14.8961265596673
50,51,3.57575772428079
