Freq,Level
150.000000,34.043977
250.000000,37.353977
350.000000,36.743977
450.000000,37.183977
570.000000,35.773977
700.000000,33.243977
840.000000,30.193977
1000.000000,27.613977
1170.000000,26.123977
1370.000000,24.883977
1600.000000,22.753977
1850.000000,20.893977
2150.000000,18.973977
2500.000000,16.403977
2900.000000,14.813977
3400.000000,13.693977
4000.000000,11.933977
4800.000000,8.443977
5800.000000,6.073977
7000.000000,4.383977
8500.000000,2.463977
