"f","l_density"
20,-64.5085719480786
21,-62.819228078685
22,-61.2084873780801
23,-59.6693592800069
24,-58.1957462080675
25,-56.7822976707819
26,-55.424292989989
27,-54.117546173452
28,-52.8583280959927
29,-51.6433023423135
30,-50.4694719307708
31,-49.3341347760902
32,-48.2348462253753
33,-47.1693873607724
34,-46.1357380353671
35,-45.1320538186961
36,-44.1566461907598
37,-43.2079654502805
38,-42.2845859027292
39,-41.3851929726813
40,-40.5085719480786
41,-39.6535981145412
42,-38.819228078685
43,-38.0044921125249
44,-37.2084873780801
45,-36.4303719134631
46,-35.6693592800069
47,-34.924713785112
48,-34.1957462080675
49,-33.4818099666102
50,-32.7822976707819
51,-32.0966380180594
52,-31.424292989989
53,-30.7647553158585
54,-30.117546173452
55,-29.4822131007834
56,-28.8583280959927
57,-28.2454858854214
58,-27.6433023423135
59,-27.0514130406911
60,-26.4694719307708
61,-25.897150123866
62,-25.3341347760902
63,-24.7801280613773
64,-24.2348462253753
65,-23.6980187126923
66,-23.1693873607724
67,-22.6487056543887
68,-22.1357380353671
69,-21.6302592626992
70,-21.1320538186961
71,-20.6409153572629
72,-20.1566461907598
73,-19.6790568122548
74,-19.2079654502805
75,-18.7431976534741
76,-18.2845859027292
77,-17.8319692486976
78,-17.3851929726813
79,-16.9441082691248
80,-16.5085719480786
81,-16.0784461561443
82,-15.6535981145412
83,-15.2338998730491
84,-14.819228078685
85,-14.4094637580704
86,-14.0044921125249
87,-13.6042023250058
88,-13.2084873780801
89,-12.8172438821817
90,-12.4303719134631
91,-12.0477748606065
92,-11.6693592800069
93,-11.2950347587825
94,-10.924713785112
95,-10.5583116254325
96,-10.1957462080675
97,-9.83693801288419
98,-9.48180996661026
99,-9.13028734346462
100,-8.78229767078186
101,-8.43777063933218
102,-8.09663801805936
103,-7.75883357297801
104,-7.42429298998904
105,-7.0929538013883
106,-6.76475531585847
107,-6.43963855174772
108,-6.11754617345201
109,-5.79842243072902
110,-5.48221310078342
111,-5.16886543297271
112,-4.85832809599275
113,-4.55055112741075
114,-4.24548588542145
115,-3.94308500271024
116,-3.64330234231353
117,-3.34609295537354
118,-3.05141304069106
119,-2.75921990598461
120,-2.46947193077081
121,-2.18212853078498
122,-1.89715012386598
123,-1.6144980972335
124,-1.33413477609025
125,-1.05602339348516
126,-0.780128061377258
127,-0.506413742843272
128,-0.23484622537525
129,0.0346079047828525
130,0.301981287307655
131,0.567305811523553
132,0.830612639227628
133,1.0919322266533
134,1.35129434561129
135,1.60872810384469
136,1.8642619646329
137,2.11792376567739
138,2.3697407373008
139,2.61973951998893
140,2.86794618130394
141,3.1143862321958
142,3.35908464273712
143,3.60206585730609
144,3.84335380924024
145,4.08297193498318
146,4.32094318774516
147,4.5572900506975
148,4.79203454971955
149,5.02519826571663
150,5.25680234652589
151,5.48686751842664
152,5.7154140972708
153,5.94246199924839
154,6.16803075130238
155,6.39213950120645
156,6.6148070273187
157,6.83605174802379
158,7.05589173087522
159,7.27434470144927
160,7.49142805192145
161,7.70715884937556
162,7.92155384385575
163,8.13462947617061
164,8.34640188545875
165,8.55688691652433
166,8.76610012695095
167,8.974056794002
168,9.18077192131499
169,9.38626024539717
170,9.59053624192958
171,9.7936141318863
172,9.9955078874751
173,10.1962312379061
174,10.3957976749942
