"profile","level","cpp_loudness"
"a1",50,2.01304544583217
"a2",50,1.92617601069454
"a3",50,1.89911621886827
"a4",50,2.28157639287881
"a5",50,1.98735316439806
"a1",55,3.23554454737445
"a2",55,3.03809597511679
"a3",55,3.07070053628927
"a4",55,3.73529785547829
"a5",55,3.27796148953094
"a1",60,4.83252399767984
"a2",60,4.49294546725583
"a3",60,4.59268090771379
"a4",60,5.64332488641428
"a5",60,4.99346850471101
"a1",65,6.88990561950829
"a2",65,6.37140601216551
"a3",65,6.52045464484106
"a4",65,8.16150780832346
"a5",65,7.25326780258939
"a1",70,9.50295122413027
"a2",70,8.74301085862529
"a3",70,8.93547211707898
"a4",70,11.4396865357874
"a5",70,10.1975376383832
"a1",75,12.8001573533253
"a2",75,11.7380981416345
"a3",75,11.9571706467535
"a4",75,15.6849746450449
"a5",75,14.045472384009
"a1",80,16.9592744396839
"a2",80,15.4838613965999
"a3",80,15.7205723180015
"a4",80,21.2499607050068
"a5",80,19.0493184917515
"a1",85,22.1892859469601
"a2",85,20.194244785515
"a3",85,20.4105489427228
"a4",85,28.3549140589455
"a5",85,25.5201078282333
"a1",90,28.7689134265076
"a2",90,26.1042904912201
"a3",90,26.2669460574654
"a4",90,37.5354007992961
"a5",90,33.915957739994
